Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0402,51.0555,-62.611,0,bottom
C2,10uF,C_0402,51.3,-65.3,90,bottom
C3,100nF,C_0402,48.9,-43,180,bottom
C4,1uF,C_0402,50.5,-58.6,270,bottom
C5,1uF,C_0402,49.4,-57.6,270,bottom
C6,22pF,C_0402,63.3,-52.3,180,bottom
C7,22pF,C_0402,63.75,-57.7,0,bottom
C8,100nF,C_0402,56.2,-49.4,90,bottom
C9,100nF,C_0402,52.6,-49.4,90,bottom
C10,100nF,C_0402,48,-51.7,180,bottom
C11,100nF,C_0402,51.05,-60.25,180,bottom
C12,100nF,C_0402,51.05,-61.35,180,bottom
C13,100nF,C_0402,57.1,-59.65,0,bottom
C14,100nF,C_0402,61.9,-58.9,0,bottom
C15,100nF,C_0402,61.9,-61.1,0,bottom
C16,100nF,C_0402,48,-50,180,bottom
D1,20V 1A,D_SOD-323,48.198,-61.722,180,bottom
F1,500mA,Fuse_0805,47.9,-58.1,90,bottom
Q1,BSS138,SOT-23,54.625,-64.975,270,bottom
R2,5.1k,R_0402,42.4,-56.2,0,bottom
R3,5.1k,R_0402,47.85,-52.95,180,bottom
R4,27,R_0402,47.9,-54.3,0,bottom
R5,27,R_0402,47.9,-55.7,0,bottom
R6,1k,R_0402,59.5705,-43,180,bottom
R7,10k,R_0402,49.6,-67.7,90,bottom
R8,1k,R_0402,61.75,-57.7,0,bottom
R9,10k,R_0402,54.55,-62.6,0,bottom
R10,10k,R_0402,54.175,-67.325,0,bottom
SW1,BOOT,TS-1187A-B-A-B,43.9,-45.5,90,bottom
SW2,RESET,TS-1187A-B-A-B,43.9,-64.5,270,bottom
U1,RP2040,RP2040,55.2,-55,270,bottom
U2,W25Q128JV,W25Q128JVPIQ,54.75,-44.9,180,bottom
U3,AP2112K-3.3,SOT-23-5,48.5155,-64.9605,0,bottom
Y1,12MHz,Crystal_SMD_3225-4pin_3.2x2.5mm,62.65,-55,90,bottom
